paper,title,room,category
64,"Bayesian Latent Variable Modeling of Longitudinal Family Data for
  Genetic Pleiotropy Studies",Room 1,stat.AP
65,Systemic Risk Management in Financial Networks with Credit Default Swaps,Room 3,q-fin.RM
66,Tame nonsmooth inverse mapping theorems,Room 7,math.GT
67,"An absolute quantum energy inequality for the Dirac field in curved
  spacetime",Room 11,gr-qc
68,"A Study on Neural Network Architecture Applied to the Prediction of
  Brazilian Stock Returns",Room 2,q-fin.ST
69,"Reading tea leaves? Polygenic scores and differences in traits among
  groups",Room 2,q-bio.GN
70,Field induced cell proliferation and death in a thick epithelium,Room 6,q-bio.CB
71,Asymptotics of eigenfunctions on plane domains,Room 5,math.SP
72,"On Rational Nilpotent Orbits of $SL_{n}$ and $Sp_{2n}$ over a Local
  Non-Archimedean Field",Room 7,math.RT
73,Dynamical and Statistical Criticality in a Model of Neural Tissue,Room 6,q-bio.NC
74,"A chemotaxis-based explanation of spheroid formation in 3D cultures of
  breast cancer cells",Room 6,q-bio.CB
75,A Quantum algorithm for linear PDEs arising in Finance,Room 8,q-fin.CP
76,Eight-dimensional Ricci-flat space related with the KP equation,Room 12,nlin.SI
77,Deep Factor Model,Room 2,q-fin.ST
78,Portfolio Optimization under Convex Incentive Schemes,Room 3,q-fin.PM
79,Degree Optimization and Stability Condition for the Min-Sum Decoder,Room 10,cs.IT
80,The Rotor-Router Model on Regular Trees,Room 4,math.CO
81,"Improved MR to CT synthesis for PET/MR attenuation correction using
  Imitation Learning",Room 2,eess.IV
82,Jihad over Centuries,Room 9,econ.GN
83,"Complex patterns arise through spontaneous symmetry breaking in dense
  homogeneous networks of neural oscillators",Room 6,nlin.PS
84,"A moving boundary model motivated by electric breakdown: II. Initial
  value problem",Room 5,nlin.PS
85,On the combinatorics of several integrable hierarchies,Room 7,nlin.SI
86,3-groups are not determined by their integral cohomology rings,Room 7,math.AT
87,"A convex pseudo-likelihood framework for high dimensional partial
  correlation estimation with convergence guarantees",Room 1,stat.ME
88,"Stellar-mass Black Hole Spin Constraints from Disk Reflection and
  Continuum Modeling",Room 11,astro-ph.HE
89,"Self-regulating genes. Exact steady state solution by using Poisson
  Representation",Room 6,q-bio.SC
90,"Analyzing establishment nonresponse using an interpretable regression
  tree model with linked administrative data",Room 1,stat.AP
91,"Quantifying the influence of conformational uncertainty in biomolecular
  solvation",Room 6,q-bio.BM
92,Discrete Nondeterminism and Nash Equilibria for Strategy-Based Games,Room 4,cs.GT
93,Phase-amplitude descriptions of neural oscillator models,Room 8,q-bio.NC
94,"Self-sufficient Receiver with Wireless Energy Transfer in a Multi-access
  Network",Room 10,eess.SP
95,A derivational rephrasing experiment for question answering,Room 1,cs.IR
96,"A Partition-Driven Integrated Security Architecture for Cyber-Physical
  Systems",Room 10,eess.SY
97,Multiple tests of association with biological annotation metadata,Room 2,stat.AP
98,Solutions for real dispersionless Veselov-Novikov hierarchy,Room 5,nlin.SI
99,Inference on Sets in Finance,Room 1,stat.AP
100,Sum of Us: Strategyproof Selection from the Selectors,Room 4,cs.GT
101,"Volterra Kernel Identification using Regularized Orthonormal Basis
  Functions",Room 1,eess.SP
102,"Sublinear Communication Protocols for Multi-Party Pointer Jumping and a
  Related Lower Bound",Room 10,cs.CC
103,The ET Interview: Professor Joel L. Horowitz,Room 11,econ.EM
104,"Causal Estimation of Position Bias in Recommender Systems Using
  Marketplace Instruments",Room 1,econ.EM
105,"Analyzing the Efficiency of Mn-(C2H4) (M = Sc, Ti, Fe, Ni; n = 1, 2)
  Complexes as Effective Hydrogen Storage Materials",Room 8,physics.atm-clus
106,"The phenomenon of growing surface interference explains the rosette
  pattern of jaguar",Room 6,q-bio.TO
107,Central Counterparty Risk,Room 3,q-fin.RM
108,Laser Singular Theta-Pinch,Room 11,nlin.PS
109,Huffman Coding as a Non-linear Dynamical System,Room 10,nlin.CD
110,Deep Kernel Gaussian Process Based Financial Market Predictions,Room 3,q-fin.CP
111,Ends in Uniform Spanning Forests,Room 7,math.PR
112,Braided quantum field theories and their symmetries,Room 7,hep-th
113,Error bounds for small jumps of L\'evy processes,Room 3,q-fin.CP
114,Variable Cutoff Frequency FIR Filters: A Survey,Room 2,eess.SP
115,"Asymptotic analysis for Merton's problem with transaction costs in power
  utility case",Room 4,q-fin.PM
116,"The multi-dimensional pencil phenomenon for Laguerre heat-diffusion
  maximal operators",Room 7,math.CA
117,"Locally adaptive image denoising by a statistical multiresolution
  criterion",Room 2,stat.ME
118,HHCART: An Oblique Decision Tree,Room 2,stat.ML
119,"Quantum Circuits for GCD Computation with $O(n \log n)$ Depth and O(n)
  Ancillae",Room 5,cs.ET
120,"Optimal Local Thresholds for Distributed Detection in Energy Harvesting
  Wireless Sensor Networks",Room 10,eess.SP
121,On the Equilibrium Fluctuations of an Isolated System,Room 4,math-ph
122,"Schr\""odinger operator on the zigzag half-nanotube in magnetic field",Room 5,math.SP
123,"Synchronization time in a hyperbolic dynamical system with long-range
  interactions",Room 12,nlin.CD
124,Explosive behavior in a log-normal interest rate model,Room 3,q-fin.CP
125,Protein Repeats from First Principles,Room 6,q-bio.BM
126,Performance Evaluation of Channel Decoding With Deep Neural Networks,Room 2,eess.SP
127,"Multivariate tail covariance for generalized skew-elliptical
  distributions",Room 1,q-fin.RM
128,"Pricing a Contingent Claim Liability with Transaction Costs Using
  Asymptotic Analysis for Optimal Investment",Room 4,q-fin.PR
129,Distributed Gaussian polynomials as q-oscillator eigenfunctions,Room 5,math-ph
130,"Electricity prices and tariffs to keep everyone happy: a framework for
  fixed and nodal prices coexistence in distribution grids with optimal tariffs
  for investment cost recovery",Room 4,econ.GN
131,"Naked-eye optical flash from GRB 080319B: Tracing the decaying neutrons
  in the outflow",Room 11,astro-ph.HE
132,"Conjugate field and fluctuation-dissipation relation for the dynamic
  phase transition in the two-dimensional kinetic Ising model",Room 5,cond-mat.stat-mech
133,Coarse-grained simulations of DNA overstretching,Room 8,q-bio.BM
134,Resonance between Cantor sets,Room 5,math.CA
135,"Asymptotic behaviour of a family of gradient algorithms in R^d and
  Hilbert spaces",Room 5,math.OC
136,"Directed transport in a spatially periodic potential under periodic
  non-biased forcing",Room 8,nlin.CD
137,"Covers of Elliptic Curves and the Lower Bound for Slopes of Effective
  Divisors on $\bar{\mathcal M}_{g}$",Room 7,math.AG
138,"Thermal instability in X-ray photoionized media in Active Galactic
  Nuclei: II. Role of the thermal conduction in warm absorber",Room 11,astro-ph.IM
139,SDSS J125637-022452: a high proper motion L subdwarf,Room 12,astro-ph.SR
140,Multiple network alignment via multiMAGNA++,Room 6,q-bio.MN
141,"Brain Emotional Learning-Based Prediction Model (For Long-Term Chaotic
  Prediction Applications)",Room 2,eess.SP
142,BSA - exact algorithm computing LTS estimate,Room 1,stat.CO
143,Zipf's Law for All the Natural Cities around the World,Room 4,nlin.AO
144,Deep Learning Power Allocation in Massive MIMO,Room 2,eess.SP
145,"Fast Training Algorithms for Deep Convolutional Fuzzy Systems with
  Application to Stock Index Prediction",Room 2,q-fin.ST
146,When Can We Ignore Measurement Error in the Running Variable?,Room 1,econ.EM
147,"Long time viscosity of dilute magnetorheological dispersions under
  periodic magnetic perturbations",Room 8,cond-mat.soft
148,Ultradiscrete Permanent Solution to the Ultradiscrete KP Equation,Room 5,nlin.SI
149,On Kahan's Rules for Determining Branch Cuts,Room 5,cs.SC
150,Adaptive Dynamical Networks,Room 6,nlin.AO
151,"Multi-asset consumption-investment problems with infinite transaction
  costs",Room 4,q-fin.MF
152,End-to-End Neural Speaker Diarization with Self-attention,Room 2,eess.AS
153,SESQA: semi-supervised learning for speech quality assessment,Room 2,eess.AS
154,Electroweak Chiral Lagrangian for Left-right Symmetric Models,Room 7,hep-ph
155,Threaded rings that swim in excitable media,Room 8,nlin.PS
156,Randomization in Optimal Execution Games,Room 4,q-fin.TR
157,"Lightweight Image Super-Resolution with Information Multi-distillation
  Network",Room 2,eess.IV
158,"On the e$^+$e$^-$ excesses and the knee of the cosmic ray spectra --
  hints of cosmic rays acceleration at young supernova remnants",Room 11,astro-ph.HE
159,A statistical noise model for a class of Physically Unclonable Functions,Room 10,stat.AP
160,"Dynamic data models: an application of MOP-based persistence in Common
  Lisp",Room 12,cs.SE
161,Direct and Indirect Effects based on Changes-in-Changes,Room 4,econ.EM
162,"Exact traveling wave solutions of 1D parabolic-parabolic models of
  chemotaxis",Room 5,nlin.SI
163,"Proving Noninterference by a Fully Complete Translation to the Simply
  Typed lambda-calculus",Room 12,cs.PL
164,Three Switch Three Phase Inverter With Improved DC Voltage Utilization,Room 10,eess.SY
165,Unbiased Bayes for Big Data: Paths of Partial Posteriors,Room 1,stat.ML
166,Memory Controlled Sequential Self Attention for Sound Recognition,Room 2,eess.AS
167,Model of protein fragments and statistical potentials,Room 8,q-bio.BM
168,"Precision of morphogen-driven tissue patterning during development is
  enhanced through contact-mediated cellular interactions",Room 6,q-bio.TO
169,On Lee Smolin's The Trouble with Physics,Room 11,physics.gen-ph
170,"On the spontaneous time-reversal symmetry breaking in
  synchronously-pumped passive Kerr resonators",Room 8,nlin.PS
171,"Band Gap Formation and Tunability in Stretchable Serpentine
  Interconnects",Room 8,physics.app-ph
172,The inverse problem of differential Galois theory over the field R(z),Room 5,math.CA
173,"Linear-Model-inspired Neural Network for Electromagnetic Inverse
  Scattering",Room 1,eess.IV
174,"Cost-effective Energy Monitoring of a Zynq-based Real-time System
  including dual Gigabit Ethernet",Room 10,eess.SP
175,"A Guide for New Program Committee Members at Theoretical Computer
  Science Conferences",Room 12,cs.GL
176,"A Biomechanical Study on the Use of Curved Drilling Technique for
  Treatment of Osteonecrosis of Femoral Head",Room 11,q-bio.TO
177,The monetary growth order,Room 3,q-fin.GN
178,"The Practice of Ensuring Repeatable and Reproducible Computational
  Models",Room 1,q-bio.OT
179,"Development of Highly Efficient Multi-invariable Wireless Sensor System
  Design for Energy Harvesting",Room 2,eess.SP
180,Teaching and Learning Data Visualization: Ideas and Assignments,Room 12,stat.OT
181,"Fitting and projecting HIV epidemics: Data, structure and parsimony",Room 1,q-bio.QM
182,Fast Density Codes for Image Data,Room 2,cs.NE
183,Feature Dynamic Bayesian Networks,Room 1,cs.AI
184,On $K$-theory automorphisms related to bundles of finite order,Room 7,math.KT
185,"Modeling Covariate Effects in Group Independent Component Analysis with
  Applications to Functional Magnetic Resonance Imaging",Room 1,stat.AP
186,Kriging of financial term-structures,Room 3,q-fin.CP
187,"A Fast, Semi-Automatic Brain Structure Segmentation Algorithm for
  Magnetic Resonance Imaging",Room 2,eess.IV
188,"Can graphene bilayers be the membrane mimetic materials? ""Ion channels""
  in graphene-based nanostructures",Room 8,q-bio.SC
189,"Duality, Ancestral and Diffusion Processes in Models with Selection",Room 6,q-bio.PE
190,"Importance of method validation: Implications of non-correlated
  observables in sweet taste receptor studies",Room 6,q-bio.BM
191,Special embeddings of finite-dimensional compacta in Euclidean spaces,Room 7,math.GN
192,C$^{*}$-bialgebra defined by the direct sum of Cuntz-Krieger algebras,Room 7,math.OA
193,Bottom-up rewriting for words and terms,Room 12,cs.FL
194,"Exponentially Stable Nonlinear Systems have Polynomial Lyapunov
  Functions on Bounded Regions",Room 5,math.CA
195,Relativistic reactions visualized through right triangles in space,Room 5,physics.pop-ph
196,Statechart Verification with iState,Room 12,cs.SE
197,"Large Range of Stability of Larkin-Ovchinnikov States for Imbalanced
  Fermi Gases in Optical Lattices",Room 8,cond-mat.quant-gas
198,Virtual Yang-Baxter cocycle invariants,Room 7,math.GT
199,Solitons with nested structure over finite fields,Room 5,nlin.SI
200,Pure cross-diffusion models: Implications for traveling wave solutions,Room 5,q-bio.PE
201,Shrinkage Estimation and Selection for Multiple Functional Regression,Room 1,stat.ME
202,Optimal Portfolio Using Factor Graphical Lasso,Room 3,econ.EM
203,Molecular Spiders in One Dimension,Room 6,cond-mat.stat-mech
204,Pumping angular momentum by driven chaotic scattering,Room 8,nlin.CD
205,Single Stranded DNA Translocation Through a Fluctuating Nanopore,Room 6,q-bio.SC
206,"Portfolios Generated by Contingent Claim Functions, with Applications to Option Pricing",Room 3,q-fin.PR
207,"Control of large 1D networks of double integrator agents: role of
  heterogeneity and asymmetry on stability margin",Room 10,nlin.AO
208,General notions of depth for functional data,Room 1,stat.ME
209,"The Diskionary: A Glossary of Terms Commonly Used for Disks and Related
  Objects, First Edition",Room 11,astro-ph.SR
210,"Repetitive Dilemma Games in Distribution Information Using Interplay of
  Droop Quota: Meek's Method in Impact of Maximum Compensation and Minimum Cost
  Routes in Information Role of Marginal Contribution in Two-Sided Matching
  Markets",Room 4,econ.GN
211,"Nuclear and Non-Ionizing Energy-Loss for Coulomb Scattered Particles
  from Low Energy up to Relativistic Regime in Space Radiation Environment",Room 11,physics.space-ph
212,"End-to-End Multi-Speaker Speech Recognition using Speaker Embeddings and
  Transfer Learning",Room 12,eess.AS
213,"Assessment of Consumers Awareness of Nutrition, Food Safety and Hygiene
  in the Life Cycle for Sustainable Development of Bangladesh- A Study on
  Sylhet City Corporation",Room 12,econ.GN
214,Closures in Formal Languages and Kuratowski's Theorem,Room 7,cs.CC
215,The drift burst hypothesis,Room 4,econ.EM
216,"DeepCOVIDExplainer: Explainable COVID-19 Diagnosis Based on Chest X-ray
  Images",Room 2,eess.IV
217,Control Theory and Experimental Design in Diffusion Processes,Room 4,stat.ME
218,A Binary Origin for Blue Stragglers in Globular Clusters,Room 12,astro-ph.SR
219,"Efficient, adaptive cross-validation for tuning and comparing models,
  with application to drug discovery",Room 1,stat.AP
220,Nonchaotic Stagnant Motion in a Marginal Quasiperiodic Gradient System,Room 8,nlin.CD
221,"Quantifying immediate price impact of trades based on the $k$-shell
  decomposition of stock trading networks",Room 3,q-fin.TR
222,"Glow-WaveGAN: Learning Speech Representations from GAN-based Variational
  Auto-Encoder For High Fidelity Flow-based Speech Synthesis",Room 2,eess.AS
223,"Integrable generalizations of the two new soliton hierarchies of AKNS
  and KN types associated with $so(3,\mathbb{R})$",Room 5,nlin.SI
224,Intensional view of General Single Processor Operating Systems,Room 10,cs.OS
225,"Modelling Social Evolutionary Processes and Peer Effects in Agricultural
  Trade Networks: the Rubber Value Chain in Indonesia",Room 4,econ.GN
226,Effective high compression of ECG signals at low level distortion,Room 2,eess.SP
227,Chimera death induced by the mean-field diffusive coupling,Room 8,nlin.CD
228,Accurate selfcorrection of errors in long reads using de Bruijn graphs,Room 2,q-bio.GN
229,Constructing word similarities in Meroitic as an aid to decipherment,Room 7,cs.CL
230,Noncommutative Electromagnetism As A Large N Gauge Theory,Room 7,hep-th
231,"Optimal Dividend Distribution Under Drawdown and Ratcheting Constraints
  on Dividend Rates",Room 4,q-fin.MF
232,"On surrogate dimension reduction for measurement error regression: An
  invariance law",Room 1,math.ST
233,"Spectral Representations of Graphons in Very Large Network Systems
  Control",Room 2,eess.SY
234,Harmonic measure and SLE,Room 5,math.CV
235,"S&CNet: Monocular Depth Completion for Autonomous Systems and 3D
  Reconstruction",Room 2,eess.IV
236,"Capturing the Tax-Revenue Bracketing System via a predator-prey model:
  Evidence from South Africa",Room 3,econ.GN
237,"Analysis, Design and Simulation of a New System for Internet Multimedia
  Transmission Guarantee",Room 10,cs.MM
238,"Entiers al\'eatoires, ensembles de Sidon, densit\'e dans le groupe de
  Bohr et ensembles d'analyticit\'e",Room 5,math.CA
239,Generative Reversible Data Hiding by Image to Image Translation via GANs,Room 2,eess.IV
240,On the integration of Poisson homogeneous spaces,Room 7,math.SG
241,Modeling of Ribosome Dynamics on a ds-mRNA under an External Load,Room 8,q-bio.SC
242,"Isolate First, Then Share: a New OS Architecture for Datacenter
  Computing",Room 10,cs.OS
243,Spectral and post-spectral estimators for grouped panel data models,Room 4,econ.EM
244,"Measuring and Analysing Marginal Systemic Risk Contribution using CoVaR:
  A Copula Approach",Room 3,q-fin.RM
245,"The Theory behind Controllable Expressive Speech Synthesis: a
  Cross-disciplinary Approach",Room 2,eess.AS
246,Confounding Equivalence in Causal Inference,Room 4,stat.ME
247,A Concurrent Language with a Uniform Treatment of Regions and Locks,Room 10,cs.PL
248,"One-Time Pad, Arithmetic Coding and Logic Gates: An unifying theme using
  Dynamical Systems",Room 10,nlin.CD
249,Data-Driven Merton's Strategies via Policy Randomization,Room 4,q-fin.PM
250,Quantum ratchet driven by broadband perturbation,Room 8,nlin.CD
251,"Asset liquidation under drift uncertainty and regime-switching
  volatility",Room 3,q-fin.MF
252,"Delay-enhanced coherent chaotic oscillations in networks with large
  disorders",Room 8,nlin.CD
253,Mathematical modelling of nuclear medicine data,Room 1,q-bio.TO
254,"Influence of volatile solids and pH for the production of volatile fatty
  acids: batch fermentation tests using sewage sludge",Room 11,q-bio.OT
255,"Fault Attacks on RSA Public Keys: Left-To-Right Implementations are also
  Vulnerable",Room 12,cs.CR
256,"Optimal Design of a Molecular Recognizer: Molecular Recognition as a
  Bayesian Signal Detection Problem",Room 6,q-bio.MN
257,"Spectral Unmixing: A Derivation of the Extended Linear Mixing Model from
  the Hapke Model",Room 2,eess.IV
258,A Locating Model for Pulmonary Tuberculosis Diagnosis in Radiographs,Room 1,eess.IV
259,"The thermodynamic efficiency of computations made in cells across the
  range of life",Room 10,q-bio.OT
260,High-Dimensional Probability Estimation with Deep Density Models,Room 2,stat.ML
261,"Increasing the Analytical Accessibility of Multishell and Diffusion
  Spectrum Imaging Data Using Generalized Q-Sampling Conversion",Room 2,q-bio.NC
262,"A linear reformulation of the Kuramoto model of self-synchronizing
  oscillators",Room 8,nlin.PS
263,"Segment Aggregation for short utterances speaker verification using raw
  waveforms",Room 2,eess.AS
264,Planetesimal Disk Microlensing,Room 11,astro-ph.EP
265,Background risk and small-stakes risk aversion,Room 3,econ.TH
266,Functional Spatial Autoregressive Models,Room 3,econ.EM
267,Traveling waves of the regularized short pulse equation,Room 8,nlin.PS
268,"Understanding and predicting synthetic lethal genetic interactions in
  Saccharomyces cerevisiae using domain genetic interactions",Room 6,q-bio.MN
269,"Clonal selection prevents tragedy of the commons when neighbors compete
  in a rock-paper-scissors game",Room 4,q-bio.PE
270,"Variational Inference with Numerical Derivatives: variance reduction
  through coupling",Room 2,stat.CO
271,Semi-supervised Acoustic Event Detection based on tri-training,Room 2,eess.AS
272,Multi-Task Policy Search,Room 4,stat.ML
273,"Region of Variability for Spirallike Functions with Respect to a
  Boundary Point",Room 5,math.CV
274,Classifying the Unclassifiables,Room 7,math.LO
275,Solar wind and motion of dust grains,Room 11,astro-ph.EP
276,"Piecemeal Journey To 'HALCYON' World Of Pervasive Computing : From past
  progress to future challenges",Room 11,cs.HC
277,Anyone for chess? Analysing chess ratings above high thresholds,Room 4,stat.OT
278,"TALEs from a spring -- superelasticity of Tal effector protein
  structures",Room 8,q-bio.BM
279,"Forced Evolution in Silico by Artificial Transposons and their Genetic
  Operators: The John Muir Ant Problem",Room 10,cs.NE
280,"Risk-neutral valuation under differential funding costs, defaults and
  collateralization",Room 3,q-fin.PR
281,"Variational Bayesian strategies for high-dimensional, stochastic design
  problems",Room 1,stat.CO
282,"Cluster Synchrony in Systems of Coupled Phase Oscillators with
  Higher-Order Coupling",Room 8,nlin.CD
283,"Analysis of the hierarchical structure of the B. subtilis
  transcriptional regulatory network",Room 6,q-bio.MN
284,Subgroup-Based Adaptive (SUBA) Designs for Multi-Arm Biomarker Trials,Room 2,stat.AP
285,Multi-Accent Adaptation based on Gate Mechanism,Room 12,eess.AS
286,"Distribution Fitting 2. Pearson-Fisher, Kolmogorov-Smirnov,
  Anderson-Darling, Wilks-Shapiro, Cramer-von-Misses and Jarque-Bera statistics",Room 1,stat.ME
287,Nonequilibrium dissipation in living oocytes,Room 6,q-bio.SC
288,Spatial partitioning improves the reliability of biochemical signaling,Room 6,q-bio.MN
289,Stability of strategies in payoff-driven evolutionary games on networks,Room 4,nlin.AO
290,"Adaptive Sequential Posterior Simulators for Massively Parallel
  Computing Environments",Room 1,stat.CO
291,"QM/MM Lineshape Simulation of the Hydrogen-bonded Uracil NH Stretching
  Vibration of the Adenine:Uracil Base Pair in CDCl$_3$",Room 8,physics.chem-ph
292,"Quantitative Imaging of Single, Unstained Viruses with Coherent X-rays",Room 11,physics.bio-ph
293,"Competition between local and nonlocal dissipation effects in
  two-dimensional quantum Josephson junction arrays",Room 8,cond-mat.supr-con
294,Solving Linear System of Equations Via A Convex Hull Algorithm,Room 5,cs.NA
295,Sums of lens spaces bounding rational balls,Room 7,math.GT
296,"More Taxa Are Not Necessarily Better for the Reconstruction of Ancestral
  Character States",Room 6,q-bio.PE
297,"Classification of constant solutions for associative Yang-Baxter
  equation on $gl(3)$",Room 5,nlin.SI
298,Symmetric units in integral group rings,Room 7,math.RA
299,"The three different phases in the dynamics of chemical reaction networks
  and their relationship to cancer",Room 6,q-bio.OT
300,"Coupled Oscillators as a model of Olfactory Network. Importance in
  Pattern Recognition and Classification tasks",Room 8,nlin.AO
301,G3 : GENESIS software envrionment update,Room 4,cs.SD
302,"Proof-of-Work Cryptocurrencies: Does Mining Technology Undermine
  Decentralization?",Room 4,q-fin.TR
303,Lines of minima are uniformly quasi-geodesic,Room 7,math.GT
304,"Safety-Critical Event Triggered Control via Input-to-State Safe Barrier
  Functions",Room 10,eess.SY
305,"Decoding Finger Flexion using amplitude modulation from band-specific
  ECoG",Room 2,cs.HC
306,"On irreducible algebras of conformal endomorphisms over a linear
  algebraic group",Room 7,math.RA
307,Citation Statistics,Room 12,stat.ME
308,"Fault tolerant controller design for a class of affine nonlinear systems
  based on adaptive virtual actuator",Room 10,eess.SY
309,Unpacking the Black Box: Regulating Algorithmic Decisions,Room 4,econ.GN
310,"Optical phase extraction algorithm based on the continuous wavelet and
  the Hilbert transforms",Room 11,cs.CE
311,Hardware In The Loop Simulator in UAV Rapid Development Life Cycle,Room 10,cs.RO
312,"Smiles in Profiles: Improving Efficiency While Reducing Disparities in
  Online Marketplaces",Room 4,econ.GN
313,"Exact solutions for a Solow-Swan model with non-constant returns to
  scale",Room 3,econ.TH
314,New type of anomaly in turbulence,Room 12,nlin.CD
315,SpatEntropy: Spatial Entropy Measures in R,Room 2,stat.CO
316,Tristability in the pendula chain,Room 8,nlin.PS
